COMBUSTIBLE,AÑO_REGISTRO,CLASE,SERVICIO,MARCA,MUNICIPIO,DEPARTAMENTO,CAPACIDAD_PASAJEROS,POTENCIA,CANTIDAD
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,ENVIGADO,Antioquia,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,PEREIRA,Risaralda,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,ENVIGADO,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,ENVIGADO,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,CHIA,Cundinamarca,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,PALMIRA,Valle del Cauca,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,MEDELLIN,Antioquia,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,CALI,Valle del Cauca,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,VILLA DEL ROSARIO,Norte de Santander,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,ARMENIA,Quindio,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BELEN DE LOS ANDAQUIES,Caqueta,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,ENVIGADO,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,MANIZALES,Caldas,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,CHIA,Cundinamarca,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,MEDELLIN,Antioquia,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,PEREIRA,Risaralda,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,ENVIGADO,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,FUNZA,Cundinamarca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,YOPAL,Casanare,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,ENVIGADO,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,VILLA DEL ROSARIO,Norte de Santander,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,CHIA,Cundinamarca,,88.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BARRANQUILLA,Atlantico,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,VALLEDUPAR,Cesar,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CALI,Valle del Cauca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,LA CALERA,Cundinamarca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,FUSAGASUGA,Cundinamarca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CARTAGENA,Bolivar,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BUCARAMANGA,Santander,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CUCUTA,Norte de Santander,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CALI,Valle del Cauca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,IBAGUE,Tolima,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CHIA,Cundinamarca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,MAZDA,VILLA DEL ROSARIO,Norte de Santander,,153.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CUCUTA,Norte de Santander,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,CHIA,Cundinamarca,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,SABANETA,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,FUNZA,Cundinamarca,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,ENVIGADO,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,SABANETA,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,MAZDA,MEDELLIN,Antioquia,,153.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,SABANETA,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,POPAYAN,Cauca,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,MEDELLIN,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,TUNJA,Boyaca,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,MAZDA,VILLA DEL ROSARIO,Norte de Santander,,153.0,1
GASO ELEC,2018,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,,340.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,ENVIGADO,Antioquia,,190.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,MEDELLIN,Antioquia,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,CHIA,Cundinamarca,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,VILLA DEL ROSARIO,Norte de Santander,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,CHIA,Cundinamarca,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,PEREIRA,Risaralda,,200.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,VILLA DEL ROSARIO,Norte de Santander,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,BOGOTA,Bogota D.C.,,190.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,BARRANQUILLA,Atlantico,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,MEDELLIN,Antioquia,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,CALI,Valle del Cauca,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,CAMIONETA,Particular,FORD,BOGOTA,Bogota D.C.,,200.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,CUCUTA,Norte de Santander,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,VILLA DEL ROSARIO,Norte de Santander,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,FUNZA,Cundinamarca,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,SABANETA,Antioquia,,249.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,MERCEDES BENZ,BOGOTA,Bogota D.C.,,299.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,MAZDA,CARTAGENA,Bolivar,,153.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,RESTREPOA,Meta,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,IBAGUE,Tolima,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,MEDELLIN,Antioquia,,190.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,PEREIRA,Risaralda,,340.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,PEREIRA,Risaralda,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,BARRANQUILLA,Atlantico,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,CALI,Valle del Cauca,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,RAM,VILLA DEL ROSARIO,Norte de Santander,,305.0,1
GASO ELEC,2022,CAMIONETA,Particular,RAM,BOGOTA,Bogota D.C.,,305.0,1
GASO ELEC,2022,CAMIONETA,Particular,RAM,MEDELLIN,Antioquia,,305.0,1
GASO ELEC,2022,CAMIONETA,Particular,RAM,LA CALERA,Cundinamarca,,305.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,SANTA MARTA,Magdalena,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BARRANQUILLA,Atlantico,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CALI,Valle del Cauca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CHIA,Cundinamarca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,VOLVO,BOGOTA,Bogota D.C.,,263.0,1
GASO ELEC,2022,CAMIONETA,Particular,VOLVO,BOGOTA,Bogota D.C.,,263.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,MEDELLIN,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CALI,Valle del Cauca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CALI,Valle del Cauca,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,SABANETA,Antioquia,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,MAZDA,BOGOTA,Bogota D.C.,,153.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,YOPAL,Casanare,,126.0,1
GASO ELEC,2018,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,184.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,BARRANQUILLA,Atlantico,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,CUCUTA,Norte de Santander,,126.0,1
GASO ELEC,2022,CAMIONETA,Particular,MAZDA,CALI,Valle del Cauca,,153.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,MAZDA,MEDELLIN,Antioquia,,153.0,1
GASO ELEC,2022,CAMIONETA,Particular,MAZDA,CALI,Valle del Cauca,,153.0,1
GASO ELEC,2022,CAMPERO,Particular,SUBARU,BOGOTA,Bogota D.C.,,164.0,1
GASO ELEC,2022,CAMPERO,Particular,SUBARU,COMBITA,Boyaca,,164.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,VILLA DEL ROSARIO,Norte de Santander,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,CALI,Valle del Cauca,,249.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,BOGOTA,Bogota D.C.,,190.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,GUARNE,Antioquia,,190.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,BOGOTA,Bogota D.C.,,190.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,FUNZA,Cundinamarca,,190.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,BOGOTA,Bogota D.C.,,190.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,CHIA,Cundinamarca,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,,249.0,1
GASO ELEC,2022,CAMIONETA,Particular,AUDI,ENVIGADO,Antioquia,,249.0,1
GASO ELEC,2022,CAMPERO,Particular,SUBARU,BOGOTA,Bogota D.C.,,164.0,1
GASO ELEC,2022,CAMPERO,Particular,SUBARU,BOGOTA,Bogota D.C.,,164.0,1
GASO ELEC,2022,CAMPERO,Particular,SUBARU,PEREIRA,Risaralda,,164.0,1
GASO ELEC,2022,CAMPERO,Particular,SUBARU,BOGOTA,Bogota D.C.,,164.0,1
GASO ELEC,2022,CAMPERO,Particular,SUBARU,ENVIGADO,Antioquia,,164.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,FUNZA,Cundinamarca,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,CUCUTA,Norte de Santander,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,TOYOTA,BOGOTA,Bogota D.C.,,126.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,ENVIGADO,Antioquia,,190.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,CALI,Valle del Cauca,,190.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,AUDI,BOGOTA,Bogota D.C.,,190.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,MEDELLIN,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,SABANETA,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,SABANETA,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,SABANETA,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,MANIZALES,Caldas,,88.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,MEDELLIN,Antioquia,,114.0,1
GASO ELEC,2022,CAMIONETA,Particular,TOYOTA,FUNZA,Cundinamarca,,114.0,1
GASO ELEC,2022,CAMIONETA,Particular,VOLVO,SABANETA,Antioquia,,462.0,1
GASO ELEC,2022,CAMIONETA,Particular,VOLVO,BOGOTA,Bogota D.C.,,462.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,BOGOTA,Bogota D.C.,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,ENVIGADO,Antioquia,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,CALI,Valle del Cauca,,88.0,1
GASO ELEC,2022,AUTOMOVIL,Particular,SUZUKI,CHIA,Cundinamarca,,88.0,1
